_id/$oid,name,symbol,contractAddress,chain/$oid,logo,decimal,financialData/price,financialData/volume24h,financialData/volumeChange24h,financialData/percentChange1h,financialData/percentChange24h,financialData/percentChange7d,financialData/percentChange30d,financialData/percentChange60d,financialData/percentChange90d,financialData/marketCap,financialData/marketCapDominance,financialData/fullyDilutedMarketCap,financialData/lastUpdated/$date,live,createdAt/$date,updatedAt/$date,__v
623fc3d317f99988906aa2dc,Global Coin Research,GCR,0x6307b25a665efc992ec1c1bc403c38f3ddd7c661,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/11496.png,18,4.35341238397068,23449.27270754,0,0.00159492,-0.81437131,-1.06205224,3.28912438,81.23946318,124.5443856,17413649.53588272,0,43534123.84,2022-03-27T01:53:00Z,false,2022-03-27T01:54:27.728Z,2022-03-27T01:54:27.728Z,0
623fc3d817f99988906aa2e0,Friends With Benefits Pro,FWB,0x35bd01fc9d6d5d81ca9e055db88dc49aa2c699a8,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/10090.png,18,60.31077006352082,53830.10985958,-23.2101,0.26720832,2.33708684,6.51646819,36.23478349,32.30322866,-19.09337116,0,0,60310770.06,2022-03-27T01:53:00Z,false,2022-03-27T01:54:32.795Z,2022-03-27T01:54:32.795Z,0
623fc3dd17f99988906aa2e4,BitDAO,BIT,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/11221.png,18,1.235937578896803,22286345.92310438,-45.5473,-0.110241,1.05934015,9.75291629,-0.71162627,-18.03582389,-34.06004046,724604177.1974177,0,12359375788.97,2022-03-27T01:53:00Z,false,2022-03-27T01:54:37.046Z,2022-03-27T01:54:37.046Z,0
623fc3df17f99988906aa2e7,Sarcophagus,SARCO,0x7697b462a7c4ff5f8b55bdbc2f4076c2af9cf51a,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/10348.png,18,0.6316885165045828,5779.97171634,-78.0022,0.81298899,1.45440226,38.92048076,22.12920086,-16.97442079,-37.05701146,9887332.037476746,0,63168851.65,2022-03-27T01:53:00Z,false,2022-03-27T01:54:39.861Z,2022-03-27T01:54:39.861Z,0
623fc3e217f99988906aa2eb,DODO,DODO,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/7224.png,18,0.44805530020478496,26094938.6631064,-12.8976,0.10513553,2.69686604,4.0322519,5.36435837,-10.09466942,-55.42512086,49533393.866303876,0.0025,448055300.2,2022-03-27T01:53:00Z,false,2022-03-27T01:54:42.833Z,2022-03-27T01:54:42.833Z,0
623fc3e417f99988906aa2ee,Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3D,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/5728.png,18,12.95169721991977,12386172.27792318,-31.4931,0.31610829,2.84131669,4.38994137,8.88478216,8.20766613,-29.14520662,89934396.65829273,0.0045,1295169721.99,2022-03-27T01:53:00Z,false,2022-03-27T01:54:44.560Z,2022-03-27T01:54:44.560Z,0
623fc3e917f99988906aa2f3,Polymath,POLY,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/2496.png,18,0.4596170905377956,26795343.72598557,45.1485,0.60945442,7.18333656,9.25451918,29.69167397,27.61603119,-15.63626914,412989318.0332477,0.0205,459617090.54,2022-03-27T01:53:00Z,false,2022-03-27T01:54:49.951Z,2022-03-27T01:54:49.951Z,0
623fc3ec17f99988906aa2f6,Gods Unchained,GODS,0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/10631.png,18,1.4257920163409898,6756335.33757908,-46.3161,-0.30486585,-0.25038236,17.88664221,24.60748696,-37.18446323,-72.22212441,33735257.12212749,0,712896008.17,2022-03-27T01:53:00Z,false,2022-03-27T01:54:52.683Z,2022-03-27T01:54:52.683Z,0
623fc3ee17f99988906aa2f9,Request,REQ,0x8f8221afbb33998d8584a2b05749ba73c37a938a,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/2071.png,18,0.2658862725364094,29124384.70378248,-71.4781,0.84155472,-1.2064934,21.96142651,26.6945786,16.83133936,-31.52873097,265853304.768872,0.0132,265853599.63,2022-03-27T01:53:00Z,false,2022-03-27T01:54:54.801Z,2022-03-27T01:54:54.801Z,0
623fc3f117f99988906aa2fc,Occam.Fi,OCC,0x2f109021afe75b949429fe30523ee7c0d5b27207,623c7bc416dc4a608cd24b00,https://s2.coinmarketcap.com/static/img/coins/64x64/9191.png,18,1.744632632018225,3469418.13311363,232.7742,-1.28626757,36.15738133,141.11940765,61.76150445,15.72141174,-42.78515039,0,0,173590946.89,2022-03-27T01:53:00Z,false,2022-03-27T01:54:57.035Z,2022-03-27T01:54:57.035Z,0
